epoch_time,current,status,seconds_time,ect
1647313732,0.077702371,Idle,0,127
1647313734,0.077702371,Idle,2,125
1647313736,0.076314829,Idle,4,123
1647313738,0.077702371,Idle,6,121
1647313740,0.077702371,Idle,8,119
1647313742,0.079089914,Idle,10,117
1647313744,0.079089914,Idle,12,115
1647313746,0.077702371,Idle,14,113
1647313748,0.077702371,Idle,16,111
1647313750,0.080477456,Idle,18,109
1647313752,0.076314829,Idle,20,107
1647313754,0.077702371,Idle,22,105
1647313756,0.077702371,Idle,24,103
1647313758,0.076314829,Idle,26,101
1647313760,0.077702371,Idle,28,99
1647313762,0.077702371,Idle,30,97
1647313764,0.076314829,Idle,32,95
1647313766,0.077702371,Idle,34,93
1647313768,0.077702371,Idle,36,91
1647313770,0.076314829,Idle,38,89
1647313772,0.077702371,Idle,40,87
1647313774,0.077702371,Idle,42,85
1647313776,0.077702371,Idle,44,83
1647313778,0.079089914,Idle,46,81
1647313780,0.077702371,Idle,48,79
1647313782,0.076314829,Idle,50,77
1647313784,0.077702371,Idle,52,75
1647313786,0.076314829,Idle,54,73
1647313788,0.079089914,Idle,56,71
1647313790,0.077702371,Idle,58,69
1647313792,0.077702371,Idle,60,67
1647313794,0.076314829,Idle,62,65
1647313796,0.076314829,Idle,64,63
1647313798,0.079089914,Idle,66,61
1647313800,0.077702371,Idle,68,59
1647313802,0.076314829,Idle,70,57
1647313804,0.077702371,Idle,72,55
1647313806,0.077702371,Idle,74,53
1647313808,0.077702371,Idle,76,51
1647313810,0.076314829,Idle,78,49
1647313812,0.076314829,Idle,80,47
1647313814,0.077702371,Idle,82,45
1647313816,0.079089914,Idle,84,43
1647313818,0.077702371,Idle,86,41
1647313820,0.077702371,Idle,88,39
1647313822,0.077702371,Idle,90,37
1647313824,0.077702371,Idle,92,35
1647313826,0.076314829,Idle,94,33
1647313828,0.076314829,Idle,96,31
1647313830,0.079089914,Idle,98,29
1647313832,0.079089914,Idle,100,27
1647313834,0.076314829,Idle,102,25
1647313836,0.087415168,Idle,104,23
1647313838,0.077702371,Idle,106,21
1647313840,0.076314829,Idle,108,19
1647313842,0.077702371,Idle,110,17
1647313844,0.077702371,Idle,112,15
1647313846,0.077702371,Idle,114,13
1647313848,0.077702371,Idle,116,11
1647313850,0.077702371,Idle,118,9
1647313852,0.077702371,Idle,120,7
1647313854,0.076314829,Idle,122,5
1647313857,0.077702371,Idle,125,2
1647313859,0.076314829,Idle,127,0
1647313861,0.106840761,Start Up,129,395
1647313863,0.111003388,Start Up,131,393
1647313865,0.108228303,Start Up,133,391
1647313867,0.108228303,Start Up,135,389
1647313869,0.113778472,Start Up,137,387
1647313871,0.11239093,Start Up,139,385
1647313873,0.11239093,Start Up,141,383
1647313875,0.11239093,Start Up,143,381
1647313877,0.11239093,Start Up,145,379
1647313879,0.113778472,Start Up,147,377
1647313881,0.109615845,Start Up,149,375
1647313883,0.113778472,Start Up,151,373
1647313885,0.111003388,Start Up,153,371
1647313887,0.11239093,Start Up,155,369
